Aba,17376,8127,47.0333,18.5167
Abaliget,12548,7678,46.15,18.1167
Abasár,24554,3261,47.8,20
Abaújalpár,15662,3882,48.3167,21.2333
Abaújkér,26718,3882,48.3,21.2
Abaújlak,02820,3815,48.4,20.9667
Abaújszolnok,26338,3809,48.3667,20.9833
Abaújszántó,03595,3881,48.2833,21.2
Abaújvár,02273,3898,48.5333,21.3167
Abda,11882,9151,47.7,17.55
Abod,10357,3753,48.4,20.8
Abony,27872,2740,47.1833,20
Abádszalók,12441,5241,47.4667,20.6
Acsa,18573,2683,47.8,19.3833
Acsalag,33385,9168,47.6833,17.2
Acsád,07214,9746,47.3167,16.7333
Adony,08925,2457,47.1167,18.8667
Adorjánháza,31307,8497,47.2333,17.25
Adorjás,06868,7841,45.8506,18.0628
Adács,23241,3292,47.7,19.9833
Adásztevel,07302,8561,47.3,17.55
Aggtelek,09362,3759,48.4667,20.5167
Agyagosszergény,29407,9441,47.6167,16.95
Ajak,08776,4524,48.1833,22.0667
Ajka,06673,8400,47.1,17.5667
Ajka,06673,8401,47.1,17.5667
Ajka,06673,8403,47.1,17.5667
Ajka,06673,8404,47.1,17.5667
Ajka,06673,8408,47.1,17.5667
Aka,06682,2862,47.4,18.0667
Akasztó,21944,6221,46.6917,19.2081
Alacska,33093,3779,48.2167,20.65
Alap,26824,7011,46.8,18.7
Alattyán,25265,5142,47.4333,20.05
Albertirsa,31653,2730,47.25,19.6167
Alcsútdoboz,15176,8087,47.4167,18.6167
Aldebrő,06345,3353,47.8,20.2333
Algyő,34245,6750,46.17,20.17
Algyő,34245,6753,46.17,20.17
Alibánfa,02644,8921,46.8833,16.9333
Almamellék,13329,7934,46.15,17.8833
Almásfüzitő,32346,2931,47.7167,18.2667
Almásfüzitő,32346,2932,47.7167,18.2667
Almásháza,23384,8935,46.85,17.05
Almáskamarás,29595,5747,46.4667,21.1
Almáskeresztúr,20376,7932,46.1167,17.9
Alsóberecki,20482,3985,48.35,21.7
Alsóbogát,34184,7443,46.5,17.75
Alsódobsza,19664,3717,48.1833,21
Alsógagy,14429,3837,48.4,21.0333
Alsómocsolád,17385,7345,46.3167,18.25
Alsónemesapáti,19512,8924,46.8481,16.935
Alsónyék,11563,7148,46.2,18.7333
Alsónána,29665,7147,46.25,18.6667
Alsónémedi,23199,2351,47.3167,19.1667
Alsópetény,16425,2617,47.8833,19.25
